OBJECTID,CSA2010,snap19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,8.81174076586298,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,5.25929549902152,47882527.7110596,37524.9505334171
3,Belair-Edison,7.04524575103353,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,8.84645088815558,176077742.748718,150987.703638772
5,Canton,0.666666666666666,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,7.05522774546843,71541340.3063965,39962.5498347165
7,Cherry Hill,11.521580102414,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,4.57710159876224,21022590.1307373,21705.411630344
9,Claremont/Armistead,10.3389624589964,61243774.4211426,40104.415980189
10,Clifton-Berea,9.7022483289447,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,4.91790701242903,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,7.04706169227017,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,6.29560495503139,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,4.84021098355569,20736554.4064941,21565.859394559
15,Edmondson Village,8.84810126582278,23563061.0443115,21504.551357829
16,Fells Point,1.31651731386215,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,7.96019900497512,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,6.97331366501274,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,4.18522359831614,27051213.4559937,26454.2692113332
20,Greater Govans,7.72399588053553,22698495.7178955,22982.125714974
21,Greater Mondawmin,8.47457627118644,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,0.745560525959062,56688145.1790161,39862.7497953118
23,Greater Rosemont,8.88415805597383,42204384.5406494,32559.0762211491
24,Greenmount East,9.88514173998045,19072287.8240967,20797.4734578598
25,Hamilton,4.34548530995231,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,10.6713519511744,10215859.0836182,18552.4075815937
27,Harford/Echodale,4.43019181661618,65360039.1698608,40019.1854001996
28,Highlandtown,2.42758620689655,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,5.62862135565161,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,1.62582652664332,24995836.2615967,43415.0595478862
31,Lauraville,4.25323881691518,49665744.2354736,34419.676527973
32,Loch Raven,5.30990790934622,44147812.3265381,29314.3346718286
33,Madison/East End,9.60030844364477,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,1.80584311019093,62441489.2398071,43152.625699222
35,Midtown,3.18242343541944,23823949.9294434,25020.0969698082
36,Midway/Coldstream,9.21654197838736,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,6.14680946006247,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,1.52863777089783,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,0.864635822262941,74923987.6937256,42904.2221443544
40,Northwood,4.0557591780328,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,11.0268436283804,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,6.47245646698061,89894372.2113037,47825.8629266244
43,Patterson Park North & East,5.3405732352739,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,7.0852296235002,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,7.43906567366283,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,9.9095556429414,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,9.39178302900107,23672092.8682861,20987.1433066354
48,South Baltimore,0.671245707149547,46353935.4255981,68440.0258266401
49,Southeastern,7.60383386581469,111251478.472229,102291.480547698
50,Southern Park Heights,9.67329117735621,27876227.5908203,24052.221372193
51,Southwest Baltimore,8.96281800391389,37766068.8365479,28355.563581391
52,The Waverlies,6.91345285695859,20383750.5437012,18733.826879757
53,Upton/Druid Heights,9.78534132662927,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,7.06887152462293,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,7.50105351875263,45494092.9501953,42573.1244161851
