CSA2010,% AA,Businesses,No internet
Greater Rosemont,97.3168963,8.72319435069318,37.52695902
Edmondson Village,96.87034277,5.56962025316455,27.1393643
Sandtown-Winchester/Harlem Park,94.86550499,6.78034371643394,38.84334146
Greenmount East,94.06892867,9.28641251221896,35.16174402
Dorchester/Ashburton,93.82050025,8.99372136433056,27.5606469
Greater Mondawmin,93.66080319,12.3364084960308,32.94670846
Pimlico/Arlington/Hilltop,93.62388184,28.0128639133378,36.98736136
Forest Park/Walbrook,93.32894242,9.84871560564524,25.36728697
Midway/Coldstream,93.26335217,11.3258520365752,35.08711992
Howard Park/West Arlington,92.52180041,11.9562218339004,28.28571429
Upton/Druid Heights,91.86895811,16.0510539547476,31.59549384
Clifton-Berea,90.81392614,11.3429208021065,32.26329442
Southern Park Heights,89.97451824,8.130081300813,34.10970832
Allendale/Irvington/S. Hilton,89.07257292,7.21465129185422,24.8674619
Greater Govans,88.73895277,9.73691601909933,19.95916284
Cherry Hill,88.39212947,11.0948549134357,29.61373391
Loch Raven,86.56458227,10.7112533472666,19.78793309
Madison/East End,86.10156043,15.6792186094332,17.84059314
Oldtown/Middle East,85.62806874,100.688554036523,32.56206315
Dickeyville/Franklintown,85.12269939,3.41380151182638,28.20512821
Penn North/Reservoir Hill,84.76602762,15.6185353744311,27.04294479
Belair-Edison,83.99701201,8.03858520900321,17.4579377
Cedonia/Frankford,83.59613739,8.53249564885172,16.43865364
Northwood,81.45120082,4.86691101363936,16.72330531
Orangeville/East Highlandtown,8.958742633,45.55908443763,21.49446494
Beechfield/Ten Hills/West Hills,77.98957442,6.11545988258317,21.2577669
Poppleton/The Terraces/Hollins Market,77.07648026,21.0381439244986,25.33705253
Southwest Baltimore,73.87119695,13.3631534805703,30.25512037
Highlandtown,7.875799574,32.1379310344827,14.92281304
The Waverlies,69.71458091,17.6705791306591,19.84423676
Chinquapin Park/Belvedere,67.09820387,21.0159876224858,10.20408163
Glen-Fallstaff,64.93843163,23.6690358052836,27.36182519
Westport/Mount Winans/Lakeland,64.79163366,14.8897317038909,25.12077295
Greater Roland Park/Poplar Hill,6.779199564,34.5668971126474,3.963221306
Fells Point,6.281379003,34.0745657705498,7.945082152
Hamilton,58.87864942,20.9198584833102,12.45383668
Harford/Echodale,57.52130419,7.60140150840311,12.63794407
Lauraville,56.68545291,10.9182758901654,8.767185035
Claremont/Armistead,56.49274225,11.5417324747904,25.46938776
Harbor East/Little Italy,56.02060528,53.0793415942297,17.33149931
Washington Village/Pigtown,55.70928488,27.4395784117753,14.74275832
Canton,4.982422112,25.0617283950617,6.382428941
Downtown/Seton Hill,37.73758029,325.628296618057,7.974443919
Patterson Park North & East,35.32030484,6.1172589181387,12.71766778
Brooklyn/Curtis Bay/Hawkins Point,34.72124756,12.427157200028,34.65996064
Midtown,34.03419886,45.0732356857523,12.42858683
Greater Charles Village/Barclay,32.54231052,39.4728814593374,14.27667984
Southeastern,29.36791427,38.4984025559105,23.83303411
Mount Washington/Coldspring,27.92584009,31.9272445820433,10.24765158
Morrell Park/Violetville,27.78414153,28.2240071396697,27.91285128
Cross-Country/Cheswolde,20.65627079,7.97913150222495,16.64022213
South Baltimore,2.389582494,20.9178894786137,4.708584554
North Baltimore/Guilford/Homeland,15.38024326,9.67704993128722,8.52966466
Inner Harbor/Federal Hill,12.30036855,38.3508362504861,7.514539333
Medfield/Hampden/Woodberry/Remington,10.28999634,33.5288704853922,9.635782748
