CSA2010,% AA,No internet
Greater Rosemont,97.3168963,37.52695902
Edmondson Village,96.87034277,27.1393643
Sandtown-Winchester/Harlem Park,94.86550499,38.84334146
Greenmount East,94.06892867,35.16174402
Dorchester/Ashburton,93.82050025,27.5606469
Greater Mondawmin,93.66080319,32.94670846
Pimlico/Arlington/Hilltop,93.62388184,36.98736136
Forest Park/Walbrook,93.32894242,25.36728697
Midway/Coldstream,93.26335217,35.08711992
Howard Park/West Arlington,92.52180041,28.28571429
Upton/Druid Heights,91.86895811,31.59549384
Clifton-Berea,90.81392614,32.26329442
Southern Park Heights,89.97451824,34.10970832
Allendale/Irvington/S. Hilton,89.07257292,24.8674619
Greater Govans,88.73895277,19.95916284
Cherry Hill,88.39212947,29.61373391
Loch Raven,86.56458227,19.78793309
Madison/East End,86.10156043,17.84059314
Oldtown/Middle East,85.62806874,32.56206315
Dickeyville/Franklintown,85.12269939,28.20512821
Penn North/Reservoir Hill,84.76602762,27.04294479
Belair-Edison,83.99701201,17.4579377
Cedonia/Frankford,83.59613739,16.43865364
Northwood,81.45120082,16.72330531
Orangeville/East Highlandtown,8.958742633,21.49446494
Beechfield/Ten Hills/West Hills,77.98957442,21.2577669
Poppleton/The Terraces/Hollins Market,77.07648026,25.33705253
Southwest Baltimore,73.87119695,30.25512037
Highlandtown,7.875799574,14.92281304
The Waverlies,69.71458091,19.84423676
Chinquapin Park/Belvedere,67.09820387,10.20408163
Glen-Fallstaff,64.93843163,27.36182519
Westport/Mount Winans/Lakeland,64.79163366,25.12077295
Greater Roland Park/Poplar Hill,6.779199564,3.963221306
Fells Point,6.281379003,7.945082152
Hamilton,58.87864942,12.45383668
Harford/Echodale,57.52130419,12.63794407
Lauraville,56.68545291,8.767185035
Claremont/Armistead,56.49274225,25.46938776
Harbor East/Little Italy,56.02060528,17.33149931
Washington Village/Pigtown,55.70928488,14.74275832
Canton,4.982422112,6.382428941
Downtown/Seton Hill,37.73758029,7.974443919
Patterson Park North & East,35.32030484,12.71766778
Brooklyn/Curtis Bay/Hawkins Point,34.72124756,34.65996064
Midtown,34.03419886,12.42858683
Greater Charles Village/Barclay,32.54231052,14.27667984
Southeastern,29.36791427,23.83303411
Mount Washington/Coldspring,27.92584009,10.24765158
Morrell Park/Violetville,27.78414153,27.91285128
Cross-Country/Cheswolde,20.65627079,16.64022213
South Baltimore,2.389582494,4.708584554
North Baltimore/Guilford/Homeland,15.38024326,8.52966466
Inner Harbor/Federal Hill,12.30036855,7.514539333
Medfield/Hampden/Woodberry/Remington,10.28999634,9.635782748
