CSA2010,aa,sw
Greater Mondawmin,98.0257510729613,7.76419841840402
Upton/Druid Heights,97.7483443708609,7.42432895488292
Greater Rosemont,97.406116918312,7.3432083202017
Edmondson Village,97.3817567567567,6.67603654251581
Dickeyville/Franklintown,96.3144963144963,5.35714285714285
Midway/Coldstream,95.6973293768546,7.760663507109
Northwood,95.5194805194805,3.42624854819976
Sandtown-Winchester/Harlem Park,95.4240390482001,6.4333017975402
Loch Raven,95.3624733475479,4.43548387096774
Pimlico/Arlington/Hilltop,95.2635599694423,7.00557966522008
Forest Park/Walbrook,95.0806451612903,5.78800557880055
Dorchester/Ashburton,94.8275862068965,5.76208178438661
Greenmount East,94.7976878612716,7.3318216175359
Poppleton/The Terraces/Hollins Market,94.7176684881602,4.53333333333333
Belair-Edison,94.6855983772819,5.71936056838365
Penn North/Reservoir Hill,94.6236559139785,5.07117437722419
Greater Govans,94.5983379501385,5.83896742470805
Southern Park Heights,94.5205479452054,6.65650406504065
Cherry Hill,93.963782696177,7.26775956284153
Clifton-Berea,93.4915773353751,5.85241730279898
Allendale/Irvington/S. Hilton,92.2451193058568,5.06831203173204
Howard Park/West Arlington,92.0731707317073,4.56081081081081
Oldtown/Middle East,91.8962722852512,6.41848523748395
Beechfield/Ten Hills/West Hills,91.0874897792314,4.29155313351498
Cedonia/Frankford,90.7210031347962,5.15126737530662
Chinquapin Park/Belvedere,87.8238341968912,4.57516339869281
Downtown/Seton Hill,87.5576036866359,6.34920634920634
Hamilton,86.4651773981603,3.75139977603583
Madison/East End,84.5956354300385,6.08034744842562
The Waverlies,84.5588235294117,4.82625482625482
Lauraville,83.8235294117647,4.52702702702702
Harford/Echodale,82.8277046365197,3.79871731623088
Southwest Baltimore,80.4666304937601,6.40070144673388
Harbor East/Little Italy,78.207381370826,4.47368421052631
Cross-Country/Cheswolde,76.9047619047619,2.2633744855967
Washington Village/Pigtown,75.2327746741154,5.61456752655538
Greater Charles Village/Barclay,73.076923076923,3.08056872037914
Midtown,67.8260869565217,3.97196261682242
Glen-Fallstaff,67.6880222841225,4.17661097852028
Claremont/Armistead,52.3837209302325,3.13745019920318
Westport/Mount Winans/Lakeland,49.8976109215017,6.05355064027939
Brooklyn/Curtis Bay/Hawkins Point,45.1230228471001,5.65610859728506
Morrell Park/Violetville,44.6547884187082,5.92105263157894
Patterson Park North & East,41.7767988252569,3.6944270507201
Mount Washington/Coldspring,40.4522613065326,0.671140939597315
Inner Harbor/Federal Hill,37.29216152019,3.04182509505703
North Baltimore/Guilford/Homeland,36.695652173913,1.93740685543964
Southeastern,28.7722586691658,5.06838294448913
Medfield/Hampden/Woodberry/Remington,24.3478260869565,1.6267942583732
Greater Roland Park/Poplar Hill,18.2242990654205,
Fells Point,18.1818181818181,1.65016501650165
Canton,12.7659574468085,1.65745856353591
Highlandtown,12.6137841352405,2.96774193548387
South Baltimore,10.5442176870748,0.524934383202099
Orangeville/East Highlandtown,9.80290456431535,2.50231696014828
