CSA2010,lifexp,streets
Downtown/Seton Hill,63.1591764,41.4210363015824
Southwest Baltimore,66.39519368,133.967011462119
Pimlico/Arlington/Hilltop,67.13242103,34.529451591063
Poppleton/The Terraces/Hollins Market,67.18433592,48.957923712151
Clifton-Berea,67.41755829,105.124569576666
Greenmount East,67.72018545,95.9188660801564
Sandtown-Winchester/Harlem Park,68.08146306,84.9892588614393
Midway/Coldstream,68.13477821,142.248545303408
Allendale/Irvington/S. Hilton,68.28871069,31.510143676389
Madison/East End,68.39714942,159.234031615474
Upton/Druid Heights,68.48610587,43.8986656352736
Greater Rosemont,68.52937915,62.5162261799678
Southern Park Heights,68.87533815,48.4040951520626
Oldtown/Middle East,68.89288546,28.2406945414629
Greater Mondawmin,69.35075024,65.8656940570693
Brooklyn/Curtis Bay/Hawkins Point,69.49178917,63.6804044091835
Belair-Edison,70.06877361,58.6242535599449
Penn North/Reservoir Hill,70.16629906,105.812991311543
The Waverlies,70.27178602,44.1119566619373
Cherry Hill,70.29655528,8.04681784930505
Claremont/Armistead,70.6065575,11.1772567124286
Edmondson Village,70.63462215,29.873417721519
Washington Village/Pigtown,70.87872487,146.829002362348
Cedonia/Frankford,71.84065277,13.4567219934627
Forest Park/Walbrook,71.8775707,35.8412021525028
Harbor East/Little Italy,71.87915094,22.3783983724801
Dorchester/Ashburton,71.95972537,25.9630069574071
Southeastern,72.10362262,31.9488817891374
Westport/Mount Winans/Lakeland,72.18518964,52.6759376316898
Greater Govans,72.22458764,26.4956464750492
Morrell Park/Violetville,72.41494943,45.4038375725123
Patterson Park North & East,72.87660257,139.872156161936
Beechfield/Ten Hills/West Hills,73.13808623,17.938682322244
Hamilton,73.68332286,8.30641439778496
Greater Charles Village/Barclay,73.76092381,72.6618266121652
Orangeville/East Highlandtown,73.77429108,105.90296791151
Loch Raven,74.03997633,14.4993795310561
Chinquapin Park/Belvedere,74.05202405,16.2454873646209
Lauraville,74.69388714,13.9330237105842
Howard Park/West Arlington,74.7394913,23.3606180446979
Northwood,74.87023187,12.978429369705
Harford/Echodale,75.22009161,8.07648910267831
Dickeyville/Franklintown,75.46233675,11.216776396001
Medfield/Hampden/Woodberry/Remington,76.64867684,26.9726247987118
Midtown,76.70506269,26.4980026631158
Glen-Fallstaff,76.74861156,15.4217513745474
South Baltimore,77.34414335,18.7324383390571
Highlandtown,77.41007325,108.965517241379
Fells Point,77.96101796,39.0529925876756
Mount Washington/Coldspring,79.88388818,11.9969040247678
Canton,80.78852184,38.0246913580247
Inner Harbor/Federal Hill,80.78964796,22.2481524698561
North Baltimore/Guilford/Homeland,82.64738945,7.0430600091617
Greater Roland Park/Poplar Hill,82.68364645,9.48895214856988
Cross-Country/Cheswolde,84.71839043,2.30167254871874
