OBJECTID,CSA2010,lifexp11,lifexp12,lifexp13,lifexp14,lifexp15,lifexp16,lifexp17,lifexp18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,70.00581206,70.35193484,71.29956201,71.29858999,70.92954269,70.26367567,69.6,68.28871069,38770.1655711968,-63770461.7790932
2,Beechfield/Ten Hills/West Hills,74.08487348,74.72865359,75.42280481,75.36281044,74.69259343,74.25222766,73.4,73.13808623,37524.9505333862,-47882527.7112373
3,Belair-Edison,71.54087486,72.54783951,72.13024405,72.92868621,72.00461017,71.44155828,70.5,70.06877361,31307.3148434905,-44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,69.68771446,69.51688231,69.48110067,69.2875198,69.65903864,69.69566374,69.2,69.49178917,150987.70363871,-176077742.748461
5,Canton,77.00775457,77.4332708,77.31697759,78.39432359,78.41707771,79.26180684,79.8,80.78852184,23338.6119476392,-15408538.2249734
6,Cedonia/Frankford,72.83634264,72.76420956,72.24603672,72.69281895,72.44469122,72.29629728,72.2,71.84065277,39962.5498346887,-71541340.306082
7,Cherry Hill,68.71864624,68.82897008,69.34264253,69.83545293,69.48591866,69.18970112,70,70.29655528,22305.3020666774,-29144181.351516
8,Chinquapin Park/Belvedere,75.40769089,74.86008277,74.97083701,75.22233984,75.30917228,75.68914189,75.3,74.05202405,21705.411630324,-21022590.1303212
9,Claremont/Armistead,73.05912247,72.65585798,72.53015375,72.20101691,70.93064623,70.56951492,70.5,70.6065575,40104.4159801772,-61243774.4204004
10,Clifton-Berea,65.13277087,66.38062135,66.80430566,67.16056341,66.94050822,67.34809136,67.6,67.41755829,24022.7646207855,-23285233.9251306
11,Cross-Country/Cheswolde,88,84.2,85.31635913,89.62142861,87.08083084,85.21671206,85,84.71839043,26788.3018784185,-38222018.3165464
12,Dickeyville/Franklintown,72.23983191,73.38236586,73.27071469,73.30215375,73.22961941,74.27758985,74.4,75.46233675,31637.8174238149,-35719112.414486
13,Dorchester/Ashburton,73.37855874,73.99968233,73.58405176,73.89521843,73.3689274,72.77281244,71.7,71.95972537,27136.0757115223,-34118277.1815219
14,Downtown/Seton Hill,63.99805752,65.02965807,66.02630883,67.48265172,67.52488796,66.37101727,65.7,63.1591764,21565.8593945388,-20736554.4071934
15,Edmondson Village,73.20683888,73.52996563,72.863821,72.36483875,71.79807176,71.40976366,70.7,70.63462215,21504.551357872,-23563061.0426838
16,Fells Point,76.77225609,76.78576357,77.24610877,78.22665728,78.73879527,78.73174035,78.4,77.96101796,27670.1699158504,-12620515.7178779
17,Forest Park/Walbrook,73.8536746,73.40755922,74.45348836,74.6841541,74.02240363,72.94574795,72.8,71.8775707,36886.899781185,-37200535.0297002
18,Glen-Fallstaff,95.59527431,78.5,78.63702275,82.50722349,79.23718715,76.99616228,77.1,76.74861156,48549.0046179359,-46995477.4779553
19,Greater Charles Village/Barclay,76.24668061,75.09375372,73.11807341,74.68230695,74.07560928,73.0949375,74,73.76092381,26454.2692113379,-27051213.4555493
20,Greater Govans,73.99568686,74.26193602,73.92576836,73.29449566,73.32704605,73.19422441,73,72.22458764,22982.1257150066,-22698495.7172767
21,Greater Mondawmin,71.13327589,71.72684983,71.20736981,71.73344335,70.3775314,69.45926939,69.4,69.35075024,31136.7318903894,-33663448.2791136
22,Greater Roland Park/Poplar Hill,84.09268359,84.4002873,84.35884093,83.84455115,83.86770578,83.58830842,83.6,82.68364645,39862.7497953315,-56688145.179702
23,Greater Rosemont,69.1922675,70.08257454,70.03162052,70.20518967,70.56358621,69.58882531,68.7,68.52937915,32559.0762212062,-42204384.5422658
24,Greenmount East,66.97221751,67.38544711,66.0937254,67.77874117,67.94613104,67.67886667,67.4,67.72018545,20797.473457859,-19072287.8238042
25,Hamilton,75.32739301,75.41081747,75.00007081,74.86984633,73.75772629,73.27276613,72.8,73.68332286,27712.1110914795,-45191100.5593894
26,Harbor East/Little Italy,73.47055942,72.54665423,72.67138855,72.32164316,72.09406685,71.58170221,71.6,71.87915094,18552.4075815481,-10215859.0840198
27,Harford/Echodale,75.92542173,76.15630363,75.98452804,75.77185909,75.73896846,75.62876185,75.5,75.22009161,40019.1854001864,-65360039.1701278
28,Highlandtown,73.99426873,74.40875731,74.26052379,74.03520609,74.48513992,74.68844666,75.2,77.41007325,14976.1238513953,-11684191.1190149
29,Howard Park/West Arlington,74.18231132,75.02712615,75.35821893,76.03425107,76.14708185,75.60246947,75,74.7394913,36034.4984469622,-63262430.0731008
30,Inner Harbor/Federal Hill,77.27834874,77.76916927,78.77271507,78.85386056,79.20383765,80.26019705,81,80.78964796,43415.059547794,-24995836.2620936
31,Lauraville,74.17654471,75.04206414,75.2798851,76.14900422,76.49877246,76.28920759,75.3,74.69388714,34419.6765281197,-49665744.2382935
32,Loch Raven,75.20043049,75.85231903,76.17327366,76.64334815,75.86793552,75.18875181,74.4,74.03997633,29314.3346718107,-44147812.3259686
33,Madison/East End,66.75699451,67.42944927,68.20725337,68.74675972,68.91080856,68.37490676,68.7,68.39714942,13120.1587193821,-8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,75.5477663,75.87834644,76.41746091,76.20985141,76.52705815,76.79788288,76.6,76.64867684,43152.6256992198,-62441489.2397897
35,Midtown,74.80265917,75.99684999,75.98049539,75.70383244,76.3713009,76.67839739,76.3,76.70506269,25020.0969697781,-23823949.929494
36,Midway/Coldstream,66.1076606,67.93404998,68.79727699,69.43665906,68.99750196,68.19336966,67.6,68.13477821,22767.8274161691,-17884471.2860874
37,Morrell Park/Violetville,72.24340258,72.66894023,72.69624762,72.97638435,73.618862,73.01800728,72.9,72.41494943,44412.7451302932,-67470845.9897077
38,Mount Washington/Coldspring,81.05450133,81.73028093,81.35868246,81.2609896,81.53738965,81.15185662,79.8,79.88388818,38539.7661484923,-56943058.650076
39,North Baltimore/Guilford/Homeland,82.17279509,83.17813455,83.75178844,83.90181433,83.99766649,83.46216448,82.4,82.64738945,42904.2221443838,-74923987.6939622
40,Northwood,75.91316098,76.17914979,76.33366818,76.16851965,75.6436398,75.57280349,75.2,74.87023187,38889.894591024,-52743271.7685975
41,Oldtown/Middle East,75.00755687,73.96947203,72.54517053,72.03365348,70.38418142,68.8064492,69.4,68.89288546,23866.328178856,-24585968.2339966
42,Orangeville/East Highlandtown,72.28617653,72.90309201,72.63357413,72.34202934,72.95354907,73.33488615,73.3,73.77429108,47825.8629265765,-89894372.2114828
43,Patterson Park North & East,71.39480965,71.68085019,71.62474001,72.57449433,72.38768198,72.25384548,72.3,72.87660257,21786.3746600731,-14507643.2040733
44,Penn North/Reservoir Hill,69.21008776,69.91305729,70.16444746,71.34418508,71.62140897,71.15576219,70.9,70.16629906,29078.8384985474,-41059796.6771503
45,Pimlico/Arlington/Hilltop,68.59137702,69.05905538,68.80433375,68.16567844,68.23780532,68.08817282,67.7,67.13242103,24725.9340693497,-30400962.0052273
46,Poppleton/The Terraces/Hollins Market,64.70892722,67.06929482,67.78671157,68.76204039,68.42079056,68.00810423,66.9,67.18433592,12334.0275347364,-9302012.99882708
47,Sandtown-Winchester/Harlem Park,67.54021463,68.77724904,69.67251716,70.01512114,70.02287778,69.1694467,68.8,68.08146306,20987.1433066415,-23672092.8680536
48,South Baltimore,74.86945891,74.95591975,75.77649374,77.12836178,76.69130586,76.86692296,77.1,77.34414335,68440.0258267645,-46353935.42529
49,Southeastern,73.4982557,74.02442697,72.30538455,73.80918345,72.7300649,72.42708796,71.4,72.10362262,102291.480547452,-111251478.472831
50,Southern Park Heights,68.3321889,69.23599536,69.63696751,69.5586271,70.1062576,69.04575817,69,68.87533815,24052.2213722085,-27876227.5906738
51,Southwest Baltimore,67.31965635,67.84806507,68.29386952,68.2648903,68.03034436,67.10182615,67,66.39519368,28355.5635813649,-37766068.8367913
52,The Waverlies,72.1912975,72.0451337,73.20557768,73.0023638,71.95857874,71.56626812,71.1,70.27178602,18733.8268797396,-20383750.5443637
53,Upton/Druid Heights,66.09946612,67.25305595,67.86328591,68.82301472,68.15973905,68.59442918,68.1,68.48610587,19389.3078211947,-16976622.3381282
54,Washington Village/Pigtown,70.31650109,69.82863561,69.60783156,70.22702557,70.13506908,69.63432243,70.1,70.87872487,36962.2600947344,-39343262.0375946
55,Westport/Mount Winans/Lakeland,74.54080678,72.83599009,71.27909963,73.80601315,73.75462673,72.88071505,73.3,72.18518964,42573.1244161893,-45494092.9497963
