OBJECTID,CSA2010,treeplnt13,treeplnt14,treeplnt15,treeplnt16,treeplnt17,treeplnt18,treeplnt19,CSA2020,treeplnt20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,349,78,198,117,3,34,26,Allendale/Irvington/S. Hilton,447,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,123,36,19,15,69,6,6,Beechfield/Ten Hills/West Hills,18,47882527.7110596,37524.9505334171
3,Belair-Edison,222,76,308,89,182,32,383,Belair-Edison,367,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,163,304,19,2,459,181,149,Brooklyn/Curtis Bay/Hawkins Point,137,176077742.748718,150987.703638771
5,Canton,91,13,18,48,8,34,14,Canton,63,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,112,156,110,115,,0,2,Cedonia/Frankford,18,71541340.3063965,39962.5498347166
7,Cherry Hill,101,369,184,33,226,84,0,Cherry Hill,26,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,146,70,27,133,24,5,36,Chinquapin Park/Belvedere,4,21022590.1307373,21705.411630344
9,Claremont/Armistead,144,229,28,11,3,0,1,Orchard Ridge/Armistead,0,61243774.4211426,40104.415980189
10,Clifton-Berea,45,84,344,199,257,325,206,Clifton-Berea,144,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,2,11,3,1,,4,7,Cross-Country/Cheswolde,5,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,137,,,0,,1,0,Dickeyville/Franklintown,52,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,47,153,81,0,,18,112,Dorchester/Ashburton,248,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,52,21,31,29,23,0,9,Downtown/Seton Hill,24,20736554.4064941,21565.859394559
15,Edmondson Village,18,24,,2,,128,3,Edmondson Village,177,23563061.0443115,21504.551357829
16,Fells Point,37,18,11,47,4,20,26,Fells Point,14,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,46,192,10,12,,8,9,Forest Park/Walbrook,13,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,124,14,38,6,8,22,22,Glen-Fallstaff,131,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,231,150,280,12,14,57,38,Greater Charles Village/Barclay,57,27051213.4559937,26454.2692113332
20,Greater Govans,50,39,19,13,14,9,104,Greater Govans,17,22698495.7178955,22982.125714974
21,Greater Mondawmin,106,182,74,88,,5,128,Greater Mondawmin,235,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,59,46,66,6,42,4,29,Greater Roland Park/Poplar Hill,103,56688145.1790161,39862.7497953117
23,Greater Rosemont,7,92,143,13,238,2,127,Greater Rosemont,175,42204384.5406494,32559.0762211492
24,Greenmount East,111,11,167,75,299,2,18,Oliver/Johnson Square,393,19072287.8240967,20797.4734578598
25,Hamilton,14,4,5,2,2,0,6,Hamilton,50,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,8,4,1,56,7,2,8,Harbor East/Little Italy,5,10215859.0836182,18552.4075815937
27,Harford/Echodale,69,78,54,44,11,3,2,Hamilton Hills,35,65360039.1698608,40019.1854001996
28,Highlandtown,31,50,58,211,4,15,26,Highlandtown,38,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,17,184,24,142,67,181,54,Howard Park/West Arlington,25,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,110,68,120,21,2,62,30,Inner Harbor/Federal Hill,49,24995836.2615967,43415.0595478862
31,Lauraville,116,18,93,3,,3,13,Greater Lauraville,26,49665744.2354736,34419.676527973
32,Loch Raven,250,43,125,19,1,8,28,Loch Raven,42,44147812.3265381,29314.3346718286
33,Madison/East End,122,163,206,278,,0,38,Madison/East End,76,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,172,59,73,24,15,15,110,Hampden/Remington,35,62441489.2398071,43152.625699222
35,Midtown,156,183,209,12,2,17,58,Midtown,19,23823949.9294434,25020.0969698082
36,Midway/Coldstream,4,6,10,19,1,38,104,Midway/Coldstream,241,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,184,95,9,15,1,11,34,Morrell Park/Violetville,10,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,15,27,18,39,8,1,40,Mount Washington/Coldspring,2,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,76,66,70,34,3,4,103,North Baltimore/Guilford/Homeland,104,74923987.6937256,42904.2221443544
40,Northwood,138,60,27,44,85,18,303,Northwood,172,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,29,53,34,38,24,2,21,Oldtown/Middle East,37,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,73,44,98,65,192,5,91,Greektown/Bayview,89,89894372.2113037,47825.8629266244
43,Patterson Park North & East,80,262,154,357,18,40,81,Patterson Park North & East,54,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,55,292,95,16,22,67,151,Penn North/Reservoir Hill,181,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,8,,6,19,,60,24,Pimlico/Arlington/Hilltop,223,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,45,13,45,51,204,9,0,Poppleton/The Terraces/Hollins Market,96,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,41,270,135,88,13,2,107,Sandtown-Winchester/Harlem Park,17,23672092.8682861,20987.1433066354
48,South Baltimore,36,43,15,20,1,13,46,South Baltimore,3,46353935.4255981,68440.02582664
49,Southeastern,,,1,0,,0,128,Southeastern,11,111251478.472229,102291.480547698
50,Southern Park Heights,57,62,7,9,32,4,0,Southern Park Heights,75,27876227.5908203,24052.221372193
51,Southwest Baltimore,216,84,265,205,112,128,0,Southwest Baltimore,97,37766068.8365479,28355.563581391
52,The Waverlies,107,35,42,39,67,0,68,The Waverlies,45,20383750.5437012,18733.826879757
53,Upton/Druid Heights,95,27,38,98,26,127,170,Upton/Druid Heights,42,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,32,188,148,173,40,36,56,Pigtown/Carroll Park,9,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,21,326,47,0,156,128,0,Westport/Mount Winans/Lakeland,0,45494092.9501953,42573.1244161851
